term,count_a,count_b,rate_a_per_1k,rate_b_per_1k,log_odds_delta,z,category,abs_z
pay,488,7707,0.2112153626282116,1.5534923847226814,0.578506970672751,33.24425761862642,other,33.24425761862642
salary,792,8360,0.34279214590480245,1.6851169503414578,0.5124175348574971,31.561470994597506,boilerplate,31.561470994597506
location,1427,10686,0.6176318083411024,2.153966475041725,0.438233118026929,31.51482090241565,other,31.51482090241565
workflows,1147,8274,0.4964426658495056,1.6677820152063663,0.4288626209899986,27.246334624559708,other,27.246334624559708
days,690,6180,0.2986446725685779,1.245696501568207,0.4789397388655745,25.73203464423156,other,25.73203464423156
today,317,4686,0.13720342203512928,0.944552395849291,0.5688649613065353,25.594400115831483,other,25.594400115831483
visit,179,4067,0.07747448752141368,0.8197811766792715,0.6217460462902658,25.468655773600293,other,25.468655773600293
accommodation,114,3746,0.04934129372872157,0.7550775234424763,0.6539109253315996,25.3496275264511,boilerplate,25.3496275264511
reasonable,218,3826,0.09435440379702896,0.7712030444983754,0.5921837973336919,23.832172867559336,other,23.832172867559336
usd,112,3345,0.048475656996638736,0.6742483491497819,0.6467037999081402,23.763668040997157,other,23.763668040997157
factors,500,4888,0.21640918302070863,0.9852693365154361,0.4971043161798381,23.565577580634617,other,23.565577580634617
posting,107,3266,0.046311565166431645,0.6583243971070816,0.6484321825611392,23.526322557347388,other,23.526322557347388
agentic,5,2784,0.0021640918302070866,0.5611681327452893,0.7265819955834774,23.52217002402958,ai_domain,23.52217002402958
annual,265,3935,0.11469686700097557,0.793174066937038,0.5693585279707483,23.46931406513333,other,23.46931406513333
offer,878,6217,0.38001452538436437,1.2531545550565601,0.4240802287093537,23.401443856472635,other,23.401443856472635
observability,489,4768,0.21164818099425306,0.9610810549315875,0.49666096917426295,23.257527966019293,sys_design,23.257527966019293
believe,281,3931,0.12162196085763825,0.7923677908842429,0.5604270896312862,23.179109021378157,other,23.179109021378157
accommodations,126,3152,0.05453511412121858,0.6353455296024252,0.6311053052900144,22.66563020434251,other,22.66563020434251
values,360,4114,0.1558146117749102,0.8292549202996122,0.5268138344254147,22.617844541791527,boilerplate,22.617844541791527
competitive,614,5046,0.2657504767494302,1.0171172406008369,0.4597801388796672,22.506679100255443,other,22.506679100255443
hybrid,1260,7175,0.5453511412121858,1.4462576697009524,0.3650148749904485,22.199196352963558,boilerplate,22.199196352963558
committed,623,4798,0.26964584204380293,0.9671281253275495,0.44466574940204584,21.363814362774477,other,21.363814362774477
inclusive,733,5037,0.31725586230835884,1.0153031194820483,0.416292027420055,20.74659788797285,boilerplate,20.74659788797285
privacy,460,4045,0.19909644837905194,0.8153466583888992,0.4749198801068353,20.677296022247422,other,20.677296022247422
just,518,4248,0.22419991360945413,0.8562651680682432,0.4592401328392066,20.630568489244823,other,20.630568489244823
https,338,3532,0.14629260772199904,0.7119417546179461,0.5101396218742478,20.440561911413056,other,20.440561911413056
meaningful,395,3731,0.17096325458635983,0.7520539882444952,0.4899919864002369,20.355864553846487,other,20.355864553846487
eligible,944,5649,0.40858053754309787,1.1386633555596766,0.37911566786691964,20.333154786814735,other,20.333154786814735
llm,146,2697,0.0631914814420469,0.543631628596999,0.5986765267888536,20.169942740012655,ai_domain,20.169942740012655
paid,369,3519,0.15970997706928297,0.7093213574463625,0.49195567839482646,19.83130383761393,other,19.83130383761393
listed,316,3294,0.13677060366908783,0.6639683294766462,0.5096496644963278,19.72495332014249,other,19.72495332014249
