company_name_canonical,year,n_posts,llm_text_share,entry_final_share,entry_yoe_share,ai_any_share,ai_count_mean,scope_any_share,scope_count_mean,soft_skill_any_share,soft_skill_count_mean,clean_len_mean,tech_count_mean,requirement_breadth_mean,stack_depth_mean,ai_domain_share,remote_share,domain_entropy,top_domain_family,top_domain_share,company_industry_mode
AMERICAN SYSTEMS,2024,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0,3.0,4.666666666666667,2.6666666666666665,0.0,0.0,0.9182958340544894,Requirements / Workflow,0.6666666666666666,IT Services and IT Consulting
AMERICAN SYSTEMS,2026,6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1154.8333333333333,2.3333333333333335,3.6666666666666665,1.8333333333333333,0.0,0.0,0.9206198357143047,Requirements / Workflow,0.5,IT Services and IT Consulting
AT&T,2024,8,1.0,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.0,1008.25,7.125,8.625,2.375,0.0,0.0,0.8868595071429147,Frontend / Mobile,0.5,Wireless Services
AT&T,2026,20,0.1,0.0,0.0,0.3,0.55,0.4,0.55,0.55,0.85,2148.0,8.05,10.9,2.9,0.1,0.0,0.8515489561291621,Requirements / Workflow,0.45,"Wireless Services, IT Services and IT Consulting, and Telecommunications"
AVEVA,2024,5,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.8,745.2,2.8,4.6,2.4,0.0,0.0,0.9602297178607612,Requirements / Workflow,0.4,Software Development
AVEVA,2026,4,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,1700.5,4.75,5.75,2.0,0.0,0.0,0.0,Requirements / Workflow,1.0,Software Development
Adobe,2024,9,1.0,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.8888888888888888,542.7777777777778,2.888888888888889,4.666666666666667,2.3333333333333335,0.4444444444444444,0.0,0.886682880001534,AI / LLM,0.4444444444444444,Advertising Services
Adobe,2026,120,0.18333333333333332,0.03333333333333333,0.03333333333333333,0.375,0.575,0.39166666666666666,0.48333333333333334,0.4583333333333333,0.5833333333333334,1855.75,5.291666666666667,7.841666666666667,3.091666666666667,0.26666666666666666,0.0,0.769929662925167,Requirements / Workflow,0.45,"Advertising Services, IT Services and IT Consulting, and Software Development"
Agility Partners,2024,4,1.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,409.5,1.0,2.0,1.75,0.0,0.0,0.8112781244591328,Requirements / Workflow,0.75,Banking
Agility Partners,2026,5,0.0,0.0,0.2,0.0,0.0,0.8,0.8,0.2,0.2,509.6,3.0,4.6,2.6,0.0,0.0,1.0000000000000002,Data / Platform,0.2,IT Services and IT Consulting
Akamai Technologies,2024,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.6666666666667,0.6666666666666666,1.3333333333333333,1.0,0.0,0.0,0.9182958340544894,DevOps,0.6666666666666666,Computer Networking Products
Akamai Technologies,2026,26,0.07692307692307693,0.0,0.15384615384615385,0.19230769230769232,0.3076923076923077,0.38461538461538464,0.38461538461538464,0.15384615384615385,0.19230769230769232,1537.0,4.153846153846154,6.076923076923077,2.730769230769231,0.19230769230769232,0.0,0.8342996668766971,Requirements / Workflow,0.34615384615384615,"Technology, Information and Internet"
Akkodis,2024,24,1.0,0.08333333333333333,0.041666666666666664,0.0,0.0,0.125,0.125,0.2916666666666667,0.375,566.5833333333334,3.5416666666666665,4.666666666666667,1.8333333333333333,0.041666666666666664,0.0,0.9352664298823948,Requirements / Workflow,0.2916666666666667,IT Services and IT Consulting
Akkodis,2026,59,0.1016949152542373,0.0,0.06779661016949153,0.0847457627118644,0.13559322033898305,0.3559322033898305,0.3898305084745763,0.2542372881355932,0.4067796610169492,1326.6440677966102,3.5254237288135593,5.271186440677966,2.3728813559322033,0.0847457627118644,0.0,0.8002330334030093,Requirements / Workflow,0.4915254237288136,IT Services and IT Consulting
AllSTEM Connections,2024,6,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,1297.5,5.0,7.166666666666667,3.0,0.0,0.0,1.0,Requirements / Workflow,0.5,Manufacturing
AllSTEM Connections,2026,7,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,1436.0,2.5714285714285716,5.142857142857143,3.4285714285714284,0.0,0.0,0.8699155297736259,Embedded,0.5714285714285714,"Appliances, Electrical, and Electronics Manufacturing"
Amazon,2024,31,1.0,0.12903225806451613,0.2903225806451613,0.0967741935483871,0.0967741935483871,0.16129032258064516,0.1935483870967742,0.03225806451612903,0.03225806451612903,394.6774193548387,1.7096774193548387,3.032258064516129,1.8064516129032258,0.0,0.0,0.6123034678652526,Embedded,0.7096774193548387,Software Development
Amazon,2026,300,0.15,0.03,0.12333333333333334,0.2,0.25333333333333335,0.48,0.64,0.19666666666666666,0.21,1432.84,2.2733333333333334,4.326666666666667,2.5833333333333335,0.07666666666666666,0.0,0.6491989486031947,Embedded,0.5466666666666666,Software Development
Amazon Web Services (AWS),2024,12,1.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,496.8333333333333,2.5,3.75,2.1666666666666665,0.0,0.0,0.6500224216483541,Embedded,0.8333333333333334,IT Services and IT Consulting
Amazon Web Services (AWS),2026,305,0.16721311475409836,0.0,0.06885245901639345,0.13114754098360656,0.14426229508196722,0.47540983606557374,0.6032786885245902,0.10819672131147541,0.10819672131147541,1701.383606557377,2.7114754098360656,4.537704918032787,2.6622950819672133,0.07540983606557378,0.0,0.5652730818235935,Embedded,0.6459016393442623,IT Services and IT Consulting
American Express,2024,6,1.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,784.8333333333334,4.333333333333333,5.333333333333333,2.0,0.0,0.0,0.8962406251802889,Requirements / Workflow,0.5,Financial Services
American Express,2026,17,0.17647058823529413,0.0,0.11764705882352941,0.5294117647058824,1.0,0.5882352941176471,0.8235294117647058,0.47058823529411764,0.5882352941176471,2540.823529411765,9.294117647058824,12.352941176470589,3.235294117647059,0.5294117647058824,0.0,0.7966950943306089,AI / LLM,0.5294117647058824,Financial Services
"American Unit, Inc",2024,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,710.625,2.75,3.625,1.5,0.0,0.0,0.8194483718728035,Requirements / Workflow,0.625,Information Technology & Services
"American Unit, Inc",2026,6,0.0,0.0,0.0,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,758.5,3.8333333333333335,5.666666666666667,2.3333333333333335,0.16666666666666666,0.0,0.9591479170272447,Data / Platform,0.3333333333333333,Information Technology & Services
Ampstek,2024,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.5,2.6666666666666665,3.5,1.6666666666666667,0.0,0.0,0.9206198357143047,Embedded,0.5,IT Services and IT Consulting
Ampstek,2026,32,0.125,0.0,0.0,0.1875,0.21875,0.09375,0.15625,0.125,0.125,447.71875,3.90625,4.75,1.65625,0.125,0.0,0.9068887490286879,Frontend / Mobile,0.28125,IT Services and IT Consulting
Amtex Systems Inc.,2024,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4,2.0,2.4,1.4,0.0,0.0,0.9609640474436812,Frontend / Mobile,0.4,IT Services and IT Consulting
Amtex Systems Inc.,2026,18,0.1111111111111111,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.2777777777777778,0.4444444444444444,0.05555555555555555,0.05555555555555555,545.3333333333334,4.333333333333333,5.555555555555555,2.0555555555555554,0.1111111111111111,0.0,0.8763576394898526,Requirements / Workflow,0.4444444444444444,IT Services and IT Consulting
Anduril Industries,2024,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1023.25,3.5,5.75,3.25,0.0,0.0,0.0,Requirements / Workflow,1.0,Defense and Space Manufacturing
Anduril Industries,2026,243,0.1934156378600823,0.00823045267489712,0.06584362139917696,0.14814814814814814,0.1646090534979424,0.522633744855967,0.6419753086419753,0.2222222222222222,0.2345679012345679,2147.1810699588477,2.9588477366255144,4.559670781893004,2.2222222222222223,0.01646090534979424,0.0,0.5868104359261848,Requirements / Workflow,0.588477366255144,Defense and Space Manufacturing
ApTask,2024,7,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,421.2857142857143,2.4285714285714284,2.5714285714285716,0.8571428571428571,0.0,0.0,0.9211854965885543,Requirements / Workflow,0.42857142857142855,IT Services and IT Consulting
