skill,count,share_of_uids
python,5681,0.31362482058076624
java,4724,0.26079275698354865
sql,3692,0.2038202495307497
aws,3506,0.19355194876890802
javascript,3155,0.17417467152478747
software engineering,2873,0.1586066026278017
software development,2798,0.1544661587722204
communication,2480,0.1369106768245556
git,2468,0.1362482058076626
agile,2421,0.13365352765816496
linux,2318,0.12796731809649994
kubernetes,2268,0.12520702219277907
docker,2163,0.11941040079496522
computer science,2047,0.11300651429833278
devops,2045,0.11289610246218394
c++,2015,0.11123992491995142
communication skills,1841,0.10163409517500276
c#,1835,0.10130285966655625
troubleshooting,1790,0.09881859335320746
systems engineering,1653,0.09125538257701225
azure,1595,0.08805343932869604
problem solving,1559,0.086066026278017
project management,1542,0.08512752567075191
jira,1525,0.0841890250634868
cloud computing,1513,0.0835265540465938
react,1479,0.0816495528320636
jenkins,1471,0.08120790548746826
teamwork,1428,0.0788340510102683
unit testing,1414,0.07806116815722645
collaboration,1362,0.07519046041735675
problemsolving,1332,0.07353428287512422
typescript,1327,0.07325825328475212
css,1312,0.07243016451363586
bachelor's degree,1310,0.07231975267748703
html,1304,0.07198851716904052
angular,1283,0.07082919288947775
testing,1256,0.06933863310146848
machine learning,1253,0.06917301534724522
microservices,1212,0.0669095727061941
agile development,1178,0.0650325714916639
ci/cd,1102,0.06083692171800817
electrical engineering,1065,0.05879430274925472
scrum,1059,0.058463067240808214
leadership,1052,0.05807662581428729
analytical skills,1026,0.056641271944352437
data analysis,1015,0.05603400684553384
terraform,971,0.05360494645025947
nosql,963,0.05316329910566413
debugging,953,0.05261123992491995
go,949,0.05239041625262228
automation,913,0.05040300320194325
software design,899,0.0496301203489014
.net,886,0.04891244341393397
engineering,863,0.04764270729822237
node.js,856,0.047256265871701446
kafka,838,0.04626255934636193
documentation,831,0.04587611791984101
mentoring,781,0.04311582201612013
windows,780,0.04306061609804571
gcp,768,0.0423981450811527
software testing,762,0.042066909572706195
security,762,0.042066909572706195
mysql,758,0.041846085900408524
ansible,753,0.041570056310036435
oracle,745,0.04112840896544109
scala,735,0.040576349784696916
design,730,0.040300320194324835
