comparison,text_scope,ngram_n,term,category,category_note,z_b_minus_a,log_odds_delta_b_minus_a,direction,count_a,count_b,rate_a_per_10k_terms,rate_b_per_10k_terms,doc_count_a,doc_count_b,doc_prev_a,doc_prev_b,distinct_companies_total,distinct_companies_a,distinct_companies_b,label_a,label_b,n_docs_a,n_docs_b,tokens_a,tokens_b,companies_a,companies_b,rank_in_direction
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,.net,tech_stack,,-21.658170758641464,-0.9729624849726886,arshkon_2024_heavy,927,1048,27.049582146692188,10.162503078811763,431,527,0.10210850509357972,0.05529325359353688,705,337,400,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,1
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,application,tech_stack,,-21.651392404238695,-0.5195483711577618,arshkon_2024_heavy,2685,4801,78.34749521452916,46.55551267306801,1419,2667,0.3361762615493959,0.2798237330815235,2198,946,1466,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,2
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,sql,tech_stack,,-16.829474281912177,-0.5036554213818238,arshkon_2024_heavy,1717,3116,50.101545356926096,30.21599197860444,1084,2105,0.25681118218431653,0.22085825201972512,1904,772,1297,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,3
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,database,tech_stack,,-16.80225788814157,-0.6103866179362534,arshkon_2024_heavy,1213,1976,35.39497642280219,19.161360766919888,742,1263,0.175787728026534,0.13251495121183507,1291,560,829,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,4
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,javascript,tech_stack,,-16.55851671757609,-0.6413834525767417,arshkon_2024_heavy,1080,1705,31.51407628740838,16.533461592914175,764,1262,0.18099976308931534,0.1324100304270276,1252,539,809,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,5
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,php,tech_stack,,-14.196903410921339,-1.571316770364394,arshkon_2024_heavy,212,131,6.1860964564172,1.2703128848514704,106,87,0.025112532575219143,0.00912810827824992,166,94,74,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,6
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,java,tech_stack,,-13.867744665913577,-0.37598366809600403,arshkon_2024_heavy,2001,4130,58.38858023250385,40.04879553005017,1167,2519,0.27647476901208246,0.2642954569300178,1606,704,1087,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,7
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,azure,tech_stack,,-13.562518797018106,-0.3465364144035501,arshkon_2024_heavy,2231,4744,65.09991129371119,46.00278111248378,872,1939,0.20658611703387822,0.20344140174168504,1622,596,1137,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,8
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,mvc,tech_stack,,-11.437560864193737,-1.1845131494535925,arshkon_2024_heavy,194,177,5.660861851627059,1.7163769512878646,167,148,0.039564084340203746,0.015528276151505612,256,143,120,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,9
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,html,tech_stack,,-11.265627801750906,-0.8147828161361241,arshkon_2024_heavy,333,441,9.716840188617583,4.276396810835866,291,379,0.0689410092395167,0.039764977442031266,522,241,308,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,10
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,written,soft_skill,,-10.979781388493858,-0.4767805692687581,arshkon_2024_heavy,808,1505,23.577197815024043,14.594052608408115,746,1418,0.1767353707652215,0.14877767285699298,1312,571,852,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,11
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,trends,noise,uncategorized_or_context_needed,-10.746955751054946,-0.6447057835212622,arshkon_2024_heavy,451,709,13.160044820019609,6.875204850073989,422,660,0.09997630893153281,0.06924771797293043,690,313,408,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,12
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,jquery,tech_stack,,-10.307355380712462,-1.419414539813686,arshkon_2024_heavy,125,90,3.647462533264858,0.8727340430277277,100,80,0.02369106846718787,0.00839366278459763,162,93,73,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,13
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,developing,noise,uncategorized_or_context_needed,-9.876736553456082,-0.2716516087504388,arshkon_2024_heavy,1880,4309,54.85783650030346,41.7845665711831,1299,2961,0.30774697938877044,0.31067044381491976,2116,893,1430,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,14
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,w2,noise,uncategorized_or_context_needed,-9.84717771943787,-1.420355067614004,arshkon_2024_heavy,114,82,3.3264858303375506,0.7951576836474852,108,69,0.0255863539445629,0.007239534151715455,120,84,44,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,15
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,interpersonal,soft_skill,,-9.74430814273555,-0.6871402788087249,arshkon_2024_heavy,332,500,9.687660488351463,4.848522461265154,315,487,0.07462686567164178,0.05109642220123806,543,252,332,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,16
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,j2ee,tech_stack,,-9.672470063445038,-1.610594165361137,arshkon_2024_heavy,96,57,2.8012512255474116,0.5527315605842276,81,54,0.019189765458422176,0.0056657223796034,106,68,42,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,17
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,directory,tech_stack,,-9.641523979324878,-1.0808174011436789,arshkon_2024_heavy,157,159,4.581212941780662,1.5418301426823189,95,110,0.022506515043828477,0.01154128632882174,171,84,91,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,18
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,drupal,tech_stack,,-9.625671503229105,-2.505860457135938,arshkon_2024_heavy,75,18,2.188477519958915,0.17454680860554553,12,14,0.0028429282160625444,0.0014688909873045851,25,12,13,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,19
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,communication,soft_skill,,-9.527910216724328,-0.2482951756338041,arshkon_2024_heavy,2079,4879,60.66459685326112,47.311882177025375,1720,3954,0.4074863776356314,0.4148567831287378,2930,1193,2013,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,20
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,oral,soft_skill,,-9.523376136970919,-0.9777211021573553,arshkon_2024_heavy,178,200,5.193986647369158,1.9394089845060616,172,194,0.040748637763563134,0.02035463225264925,289,150,152,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,21
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,angular,tech_stack,,-9.422713238228518,-0.48584272634423975,arshkon_2024_heavy,575,1061,16.778327653018348,10.288564662804657,374,647,0.08860459606728263,0.06788374777043332,652,284,428,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,22
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,rdbms,tech_stack,,-9.401496473247974,-1.1535343647446448,arshkon_2024_heavy,136,128,3.9684392361921654,1.2412217500838794,130,118,0.030798389007344232,0.012380652607281502,154,80,78,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,23
