comparison,text_scope,ngram_n,label_a,label_b,n_docs_a,n_docs_b,tokens_a,tokens_b,companies_a,companies_b,exclude_aggregators,company_cap,exclude_title_lookup_llm,min_distinct_companies,flag_n_lt_100,retained_terms,panel_definition,panel_side
entry_J1_arshkon_vs_scraped,full_text,1,arshkon_2024,scraped_2026,161,501,12451,45742,141,321,True,50,False,20,False,415,J1,junior
entry_J2_arshkon_vs_scraped,full_text,1,arshkon_2024,scraped_2026,175,548,13935,50896,153,350,True,50,False,20,False,465,J2,junior
entry_J3_arshkon_vs_scraped,full_text,1,arshkon_2024,scraped_2026,413,1179,36913,132056,307,586,True,50,False,20,False,993,J3,junior
entry_J4_arshkon_vs_scraped,full_text,1,arshkon_2024,scraped_2026,844,2361,74647,263104,603,1135,True,50,False,20,False,1653,J4,junior
senior_S1_arshkon_vs_scraped,full_text,1,arshkon_2024,scraped_2026,1906,5063,167190,582101,1191,2083,True,50,False,20,False,2826,S1,senior
senior_S2_arshkon_vs_scraped,full_text,1,arshkon_2024,scraped_2026,12,109,1355,15052,12,44,True,50,False,20,True,48,S2,senior
senior_S3_arshkon_vs_scraped,full_text,1,arshkon_2024,scraped_2026,1674,4501,147672,518762,1044,1865,True,50,False,20,False,2622,S3,senior
senior_S4_arshkon_vs_scraped,full_text,1,arshkon_2024,scraped_2026,1569,3944,137792,446282,1019,1828,True,50,False,20,False,2461,S4,senior
relabeling_J1_2026_vs_S1_2024,full_text,1,senior_2024,entry_2026,1906,501,167190,45742,1191,321,True,50,False,20,False,1241,J1_vs_S1,diagnostic
relabeling_J1_2026_vs_S4_2024,full_text,1,senior_2024,entry_2026,1569,501,137792,45742,1019,321,True,50,False,20,False,1108,J1_vs_S4,diagnostic
relabeling_J2_2026_vs_S1_2024,full_text,1,senior_2024,entry_2026,1906,548,167190,50896,1191,350,True,50,False,20,False,1259,J2_vs_S1,diagnostic
relabeling_J2_2026_vs_S4_2024,full_text,1,senior_2024,entry_2026,1569,548,137792,50896,1019,350,True,50,False,20,False,1127,J2_vs_S4,diagnostic
relabeling_J3_2026_vs_S1_2024,full_text,1,senior_2024,entry_2026,1906,1179,167190,132056,1191,586,True,50,False,20,False,1508,J3_vs_S1,diagnostic
relabeling_J3_2026_vs_S4_2024,full_text,1,senior_2024,entry_2026,1569,1179,137792,132056,1019,586,True,50,False,20,False,1420,J3_vs_S4,diagnostic
relabeling_J4_2026_vs_S1_2024,full_text,1,senior_2024,entry_2026,1906,2361,167190,263104,1191,1135,True,50,False,20,False,1952,J4_vs_S1,diagnostic
relabeling_J4_2026_vs_S4_2024,full_text,1,senior_2024,entry_2026,1569,2361,137792,263104,1019,1135,True,50,False,20,False,1888,J4_vs_S4,diagnostic
within_2024_S1_arshkon_vs_asaniczka,full_text,1,arshkon_2024,asaniczka_2024,1906,8223,167190,785990,1191,3193,True,50,False,20,False,3273,S1,within_2024_senior
within_2024_S4_arshkon_vs_asaniczka,full_text,1,arshkon_2024,asaniczka_2024,1569,6671,137792,666258,1019,2742,True,50,False,20,False,2968,S4,within_2024_senior
